AtomicNumber,Symbol,Name,AtomicMass,ElectronConfiguration
1,H,Hydrogen,1.008,1s1
2,He,Helium,4.0026,1s2
3,Li,Lithium,7,[He]2s1
4,Be,Beryllium,9.012183,[He]2s2
5,B,Boron,10.81,[He]2s2 2p1
6,C,Carbon,12.011,[He]2s2 2p2
7,N,Nitrogen,14.007,[He] 2s2 2p3
8,O,Oxygen,15.999,[He]2s2 2p4
9,F,Fluorine,18.99840316,[He]2s2 2p5
10,Ne,Neon,20.18,[He]2s2 2p6
11,Na,Sodium,22.9897693,[Ne]3s1
12,Mg,Magnesium,24.305,[Ne]3s2
13,Al,Aluminum,26.981538,[Ne]3s2 3p1
14,Si,Silicon,28.085,[Ne]3s2 3p2
15,P,Phosphorus,30.973762,[Ne]3s2 3p3
16,S,Sulfur,32.07,[Ne]3s2 3p4
17,Cl,Chlorine,35.45,[Ne]3s2 3p5
18,Ar,Argon,39.9,[Ne]3s2 3p6
19,K,Potassium,39.0983,[Ar]4s1
20,Ca,Calcium,40.08,[Ar]4s2
21,Sc,Scandium,44.95591,[Ar]4s2 3d1
22,Ti,Titanium,47.867,[Ar]4s2 3d2
23,V,Vanadium,50.9415,[Ar]4s2 3d3
24,Cr,Chromium,51.996,[Ar]3d5 4s1
25,Mn,Manganese,54.93804,[Ar]4s2 3d5
26,Fe,Iron,55.84,[Ar]4s2 3d6
27,Co,Cobalt,58.93319,[Ar]4s2 3d7
28,Ni,Nickel,58.693,[Ar]4s2 3d8
29,Cu,Copper,63.55,[Ar]4s1 3d10
30,Zn,Zinc,65.4,[Ar]4s2 3d10
31,Ga,Gallium,69.723,[Ar]4s2 3d10 4p1
32,Ge,Germanium,72.63,[Ar]4s2 3d10 4p2
33,As,Arsenic,74.92159,[Ar]4s2 3d10 4p3
34,Se,Selenium,78.97,[Ar]4s2 3d10 4p4
35,Br,Bromine,79.9,[Ar]4s2 3d10 4p5
36,Kr,Krypton,83.8,[Ar]4s2 3d10 4p6
37,Rb,Rubidium,85.468,[Kr]5s1
38,Sr,Strontium,87.62,[Kr]5s2
39,Y,Yttrium,88.90584,[Kr]5s2 4d1
40,Zr,Zirconium,91.22,[Kr]5s2 4d2
41,Nb,Niobium,92.90637,[Kr]5s1 4d4
42,Mo,Molybdenum,95.95,[Kr]5s1 4d5
43,Tc,Technetium,96.90636,[Kr]5s2 4d5
44,Ru,Ruthenium,101.1,[Kr]5s1 4d7
45,Rh,Rhodium,102.9055,[Kr]5s1 4d8
46,Pd,Palladium,106.42,[Kr]4d10
47,Ag,Silver,107.868,[Kr]5s1 4d10
48,Cd,Cadmium,112.41,[Kr]5s2 4d10
49,In,Indium,114.818,[Kr]5s2 4d10 5p1
50,Sn,Tin,118.71,[Kr]5s2 4d10 5p2
51,Sb,Antimony,121.76,[Kr]5s2 4d10 5p3
52,Te,Tellurium,127.6,[Kr]5s2 4d10 5p4
53,I,Iodine,126.9045,[Kr]5s2 4d10 5p5
54,Xe,Xenon,131.29,[Kr]5s2 4d10 5p6
55,Cs,Cesium,132.905452,[Xe]6s1
56,Ba,Barium,137.33,[Xe]6s2
57,La,Lanthanum,138.9055,[Xe]6s2 5d1
58,Ce,Cerium,140.116,[Xe]6s2 4f1 5d1
59,Pr,Praseodymium,140.90766,[Xe]6s2 4f3
60,Nd,Neodymium,144.24,[Xe]6s2 4f4
61,Pm,Promethium,144.91276,[Xe]6s2 4f5
62,Sm,Samarium,150.4,[Xe]6s2 4f6
63,Eu,Europium,151.964,[Xe]6s2 4f7
64,Gd,Gadolinium,157.2,[Xe]6s2 4f7 5d1
65,Tb,Terbium,158.92535,[Xe]6s2 4f9
66,Dy,Dysprosium,162.5,[Xe]6s2 4f10
67,Ho,Holmium,164.93033,[Xe]6s2 4f11
68,Er,Erbium,167.26,[Xe]6s2 4f12
69,Tm,Thulium,168.93422,[Xe]6s2 4f13
70,Yb,Ytterbium,173.05,[Xe]6s2 4f14
71,Lu,Lutetium,174.9668,[Xe]6s2 4f14 5d1
72,Hf,Hafnium,178.49,[Xe]6s2 4f14 5d2
73,Ta,Tantalum,180.9479,[Xe]6s2 4f14 5d3
74,W,Tungsten,183.84,[Xe]6s2 4f14 5d4
75,Re,Rhenium,186.207,[Xe]6s2 4f14 5d5
76,Os,Osmium,190.2,[Xe]6s2 4f14 5d6
77,Ir,Iridium,192.22,[Xe]6s2 4f14 5d7
78,Pt,Platinum,195.08,[Xe]6s1 4f14 5d9
79,Au,Gold,196.96657,[Xe]6s1 4f14 5d10
80,Hg,Mercury,200.59,[Xe]6s2 4f14 5d10
81,Tl,Thallium,204.383,[Xe]6s2 4f14 5d10 6p1
82,Pb,Lead,207,[Xe]6s2 4f14 5d10 6p2
83,Bi,Bismuth,208.9804,[Xe]6s2 4f14 5d10 6p3
84,Po,Polonium,208.98243,[Xe]6s2 4f14 5d10 6p4
85,At,Astatine,209.98715,[Xe]6s2 4f14 5d10 6p5
86,Rn,Radon,222.01758,[Xe]6s2 4f14 5d10 6p6
87,Fr,Francium,223.01973,[Rn]7s1
88,Ra,Radium,226.02541,[Rn]7s2
89,Ac,Actinium,227.02775,[Rn]7s2 6d1
90,Th,Thorium,232.038,[Rn]7s2 6d2
91,Pa,Protactinium,231.03588,[Rn]7s2 5f2 6d1
92,U,Uranium,238.0289,[Rn]7s2 5f3 6d1
93,Np,Neptunium,237.048172,[Rn]7s2 5f4 6d1
94,Pu,Plutonium,244.0642,[Rn]7s2 5f6
95,Am,Americium,243.06138,[Rn]7s2 5f7
96,Cm,Curium,247.07035,[Rn]7s2 5f7 6d1
97,Bk,Berkelium,247.07031,[Rn]7s2 5f9
98,Cf,Californium,251.07959,[Rn]7s2 5f10
99,Es,Einsteinium,252.083,[Rn]7s2 5f11
100,Fm,Fermium,257.09511,[Rn] 5f12 7s2
101,Md,Mendelevium,258.09843,[Rn]7s2 5f13
102,No,Nobelium,259.101,[Rn]7s2 5f14
103,Lr,Lawrencium,266.12,[Rn]7s2 5f14 6d1
104,Rf,Rutherfordium,267.122,[Rn]7s2 5f14 6d2
105,Db,Dubnium,268.126,[Rn]7s2 5f14 6d3
106,Sg,Seaborgium,269.128,[Rn]7s2 5f14 6d4
107,Bh,Bohrium,270.133,[Rn]7s2 5f14 6d5
108,Hs,Hassium,269.1336,[Rn]7s2 5f14 6d6
109,Mt,Meitnerium,277.154,[Rn]7s2 5f14 6d7 (calculated)
110,Ds,Darmstadtium,282.166,[Rn]7s2 5f14 6d8 (predicted)
111,Rg,Roentgenium,282.169,[Rn]7s2 5f14 6d9 (predicted)
112,Cn,Copernicium,286.179,[Rn]7s2 5f14 6d10 (predicted)
113,Nh,Nihonium,286.182,[Rn]5f14 6d10 7s2 7p1 (predicted)
114,Fl,Flerovium,290.192,[Rn]7s2 7p2 5f14 6d10 (predicted)
115,Mc,Moscovium,290.196,[Rn]7s2 7p3 5f14 6d10 (predicted)
116,Lv,Livermorium,293.205,[Rn]7s2 7p4 5f14 6d10 (predicted)
117,Ts,Tennessine,294.211,[Rn]7s2 7p5 5f14 6d10 (predicted)
118,Og,Oganesson,295.216,[Rn]7s2 7p6 5f14 6d10 (predicted)
